Index,Time[d.s],IEs_T(15)_S(17)_EvLim(20),IEs_T(15)_S(33)_EvLim(20),IEs_T(30)_S(17)_EvLim(20),IEs_T(30)_S(33)_EvLim(20)
85017,736417.6677688587,26424.715415957646,27381.058284517992,22994.804855061775,28171.22163718432
85085,736418.8662566455,35150.644021107386,35150.644021107386,35150.644021107386,35150.644021107386
85094,736418.980096847,31801.726443365522,27303.025078250237,28527.428347858055,26300.826220371284
85121,736419.5695053007,31801.726443365522,27303.025078250237,28527.428347858055,26300.826220371284
85129,736419.8824112739,31801.726443365522,27303.025078250237,28527.428347858055,26300.826220371284
85162,736420.4753203047,30417.946974755927,25982.88230923651,27628.46392297513,25224.825401677143
85169,736420.6046937226,35779.11025163763,31080.207538534145,35779.11025163763,26701.513145547484
85222,736421.5890243981,35779.11025163763,31080.207538534145,35779.11025163763,26701.513145547484
85298,736423.5219607478,32291.992840046583,30177.33702095244,27004.636325490115,28879.001754121015
85395,736425.4954203919,30073.835940440447,26755.026004176347,27987.472047232044,23847.083645239447
85514,736428.8661635749,30073.835940440447,26755.026004176347,27987.472047232044,23847.083645239447
85553,736429.8949614189,30755.704386118818,30755.704386118818,34412.247546402425,34412.247546402425
85582,736430.457789359,30996.864128626086,28882.20830953194,30049.111369013008,28882.20830953194
85609,736430.9630623359,27629.18240918197,28220.114940020176,24721.240050245073,27355.00754509113
85610,736430.9654603208,27614.595300621462,26415.348699030754,24042.387961655673,23462.44229806041
85617,736431.0194263319,27614.595300621462,26415.348699030754,24042.387961655673,23462.44229806041
85624,736431.1813445565,33944.64141662207,30898.622283844332,30351.86995405082,34477.90660325225
85758,736433.7673682701,32588.256718630564,26853.514746138066,26078.079763372516,22799.749238265398
85775,736433.9940583762,32588.256718630564,26853.514746138066,26078.079763372516,22799.749238265398
85796,736434.2966482104,32588.256718630564,26853.514746138066,26078.079763372516,22799.749238265398
85856,736435.3743735303,28460.908402270998,25634.435364533027,21615.788655973323,21330.965926736768
85875,736435.8750407825,33803.857648028046,27807.292950112034,31498.83450994936,21299.137733478747
85950,736437.418688408,33803.857648028046,27807.292950112034,31498.83450994936,21299.137733478747
85972,736437.9878239571,33803.857648028046,27807.292950112034,31498.83450994936,21299.137733478747
85999,736438.4781176616,33803.857648028046,27807.292950112034,31498.83450994936,21299.137733478747
86086,736440.1748110827,33216.47433376103,32435.345071016927,29172.496535252303,25904.879784525594
86140,736441.047356516,33216.47433376103,32435.345071016927,29172.496535252303,25904.879784525594
86205,736442.7546663126,33216.47433376103,32435.345071016927,29172.496535252303,25904.879784525594
86310,736445.4466078234,32714.92806678021,35355.589517919114,31089.427144969464,29041.02481303049
86411,736446.7019615702,32714.92806678021,35355.589517919114,31089.427144969464,29041.02481303049
86461,736447.4914611196,31140.460079688684,34342.03273000941,25006.181614755063,24503.92822316788
86503,736448.3912684021,36300.98462871768,34333.788516167944,33434.991757251926,28122.115604674567
86505,736448.3931699167,36283.30080948678,34307.866183581136,31717.427579373696,26728.69430105816
86577,736449.8439159422,31396.483331154297,31396.483331154297,27611.1631312487,26711.404819432446
86587,736450.1064885663,31396.483331154297,31396.483331154297,27611.1631312487,26711.404819432446
86690,736452.1868877016,31643.42308728106,34812.88356543556,26157.842203146298,24468.275107469373
86722,736452.748121311,31862.77746972334,33033.07768649858,30750.267048478287,25315.539885986575
86735,736453.0113888994,31862.77746972334,33033.07768649858,30750.267048478287,25315.539885986575
86737,736453.0416733748,31862.77746972334,33033.07768649858,30750.267048478287,25315.539885986575
86835,736454.6887224431,31862.77746972334,33033.07768649858,30750.267048478287,25315.539885986575
86858,736455.3413526501,31862.77746972334,33033.07768649858,30750.267048478287,25315.539885986575
86872,736455.5298389825,29702.309228013564,29702.309228013564,29702.309228013564,30070.79161694294
86903,736456.0070090202,29702.309228013564,29702.309228013564,29702.309228013564,30070.79161694294
86936,736456.8171144929,31770.978609996364,31787.443303278837,27425.144384918163,34521.361552863906
86981,736457.6590609616,31770.978609996364,31787.443303278837,27425.144384918163,34521.361552863906
87010,736458.4040822939,30725.581984030603,30795.478905358308,26156.904942555746,29635.921630704775
87025,736458.8119854907,30725.581984030603,30795.478905358308,26156.904942555746,29635.921630704775
87072,736459.9835299482,30725.581984030603,30795.478905358308,26156.904942555746,29635.921630704775
87102,736460.8914842231,30725.581984030603,30795.478905358308,26156.904942555746,29635.921630704775
87340,736467.058445922,30725.581984030603,30795.478905358308,26156.904942555746,29635.921630704775
87357,736467.5327648005,29082.98199565798,30651.34578495241,32727.91001289412,31742.912385140673
87376,736468.1047825807,29082.98199565798,30651.34578495241,32727.91001289412,31742.912385140673
87380,736468.1982527536,28481.307967561603,28481.307967561603,31280.026412250812,28813.38643720344
87445,736470.3820840215,28481.307967561603,28481.307967561603,31280.026412250812,28813.38643720344
87461,736470.8697845849,27404.59301659627,27805.750993155478,28825.023766326107,28805.23580404053
87550,736473.5567323213,27404.59301659627,27805.750993155478,28825.023766326107,28805.23580404053
87554,736473.5975869038,27404.59301659627,27805.750993155478,28825.023766326107,28805.23580404053
87568,736474.2223289666,27404.59301659627,27805.750993155478,28825.023766326107,28805.23580404053
87614,736475.300525995,31195.29495890248,31195.29495890248,31195.29495890248,31195.29495890248
87681,736476.7510027162,31195.29495890248,31195.29495890248,31195.29495890248,31195.29495890248
87799,736480.8957777733,30696.20599402989,30696.20599402989,27972.769321422722,28384.66779962824
