Index,Time[d.s],trp_T(15)_S(17)_EvLim(20),trr_T(15)_S(17)_EvLim(20),pfo_T(15)_S(17)_EvLim(20),pma_T(15)_S(17)_EvLim(20),paf_T(15)_S(17)_EvLim(20),num_T(15)_S(17)_EvLim(20),mem_T(15)_S(17)_EvLim(20),len_T(15)_S(17)_EvLim(20),siz_T(15)_S(17)_EvLim(20),rad_T(15)_S(17)_EvLim(20),dim_T(15)_S(17)_EvLim(20),den_T(15)_S(17)_EvLim(20),cer_T(15)_S(17)_EvLim(20),enum_T(15)_S(17)_EvLim(20),trp_T(15)_S(33)_EvLim(20),trr_T(15)_S(33)_EvLim(20),pfo_T(15)_S(33)_EvLim(20),pma_T(15)_S(33)_EvLim(20),paf_T(15)_S(33)_EvLim(20),num_T(15)_S(33)_EvLim(20),mem_T(15)_S(33)_EvLim(20),len_T(15)_S(33)_EvLim(20),siz_T(15)_S(33)_EvLim(20),rad_T(15)_S(33)_EvLim(20),dim_T(15)_S(33)_EvLim(20),den_T(15)_S(33)_EvLim(20),cer_T(15)_S(33)_EvLim(20),enum_T(15)_S(33)_EvLim(20),trp_T(30)_S(17)_EvLim(20),trr_T(30)_S(17)_EvLim(20),pfo_T(30)_S(17)_EvLim(20),pma_T(30)_S(17)_EvLim(20),paf_T(30)_S(17)_EvLim(20),num_T(30)_S(17)_EvLim(20),mem_T(30)_S(17)_EvLim(20),len_T(30)_S(17)_EvLim(20),siz_T(30)_S(17)_EvLim(20),rad_T(30)_S(17)_EvLim(20),dim_T(30)_S(17)_EvLim(20),den_T(30)_S(17)_EvLim(20),cer_T(30)_S(17)_EvLim(20),enum_T(30)_S(17)_EvLim(20),trp_T(30)_S(33)_EvLim(20),trr_T(30)_S(33)_EvLim(20),pfo_T(30)_S(33)_EvLim(20),pma_T(30)_S(33)_EvLim(20),paf_T(30)_S(33)_EvLim(20),num_T(30)_S(33)_EvLim(20),mem_T(30)_S(33)_EvLim(20),len_T(30)_S(33)_EvLim(20),siz_T(30)_S(33)_EvLim(20),rad_T(30)_S(33)_EvLim(20),dim_T(30)_S(33)_EvLim(20),den_T(30)_S(33)_EvLim(20),cer_T(30)_S(33)_EvLim(20),enum_T(30)_S(33)_EvLim(20)
78747,736352.5208303089,0.5309178326520839,-2.7611812031445173,0.8333333333333334,0.08333333333333333,0.08333333333333333,1,12.0,20.5200765671907,88674.40991547154,3.0,6.0,0.16666666666666666,91.66666666666666,12,0.5309178326520839,-2.7611812031445173,0.8333333333333334,0.08333333333333333,0.08333333333333333,1,12.0,20.5200765671907,88674.40991547154,3.0,6.0,0.16666666666666666,91.66666666666666,12,0.5309178326520839,-2.7611812031445173,0.8333333333333334,0.08333333333333333,0.08333333333333333,1,12.0,20.5200765671907,88674.40991547154,3.0,6.0,0.16666666666666666,91.66666666666666,12,-0.2739745733336196,-3.7059191631901,0.7142857142857143,0.14285714285714285,0.14285714285714285,1,7.0,20.5200765671907,88674.40988289844,2.0,4.0,0.2857142857142857,85.71428571428571,7
78847,736356.3225489159,0.6093170540191104,-2.7125423596577947,0.9230769230769231,0.07692307692307693,0.0,1,13.0,24.32179517415352,88674.40991547154,3.0,6.0,0.15384615384615385,92.3076923076923,13,0.49170160420905623,-2.8913496401285896,0.9166666666666666,0.08333333333333333,0.0,1,12.0,24.32179517415352,88674.40991547154,3.0,6.0,0.16666666666666666,91.66666666666666,12,0.6093170540191104,-2.7125423596577947,0.9230769230769231,0.07692307692307693,0.0,1,13.0,24.32179517415352,88674.40991547154,3.0,6.0,0.15384615384615385,92.3076923076923,13,0.29403612777477506,-2.8952822728828638,0.9090909090909091,0.09090909090909091,0.0,1,11.0,24.32179517415352,88674.40988289844,3.0,5.0,0.18181818181818182,90.9090909090909,11
78851,736356.7119766026,0.6663331332284289,-2.8761677500000147,0.8571428571428571,0.07142857142857142,0.07142857142857142,1,14.0,24.711222860845737,100885.92067016027,3.0,6.0,0.14285714285714285,92.85714285714286,14,0.6663331332284289,-2.8761677500000147,0.8571428571428571,0.07142857142857142,0.07142857142857142,1,14.0,24.711222860845737,100885.92067016027,3.0,6.0,0.14285714285714285,92.85714285714286,14,0.6663331332284289,-2.8761677500000147,0.8571428571428571,0.07142857142857142,0.07142857142857142,1,14.0,24.711222860845737,100885.92067016027,3.0,6.0,0.14285714285714285,92.85714285714286,14,-0.17986624700799814,-3.0558795587807617,0.25,0.125,0.625,1,8.0,24.711222860845737,93325.98825935823,3.0,5.0,0.25,87.5,8
78855,736356.9591998712,0.6663331332284289,-2.8761677500000147,0.8571428571428571,0.07142857142857142,0.07142857142857142,1,14.0,24.711222860845737,100885.92067016027,3.0,6.0,0.14285714285714285,92.85714285714286,14,0.6663331332284289,-2.8761677500000147,0.8571428571428571,0.07142857142857142,0.07142857142857142,1,14.0,24.711222860845737,100885.92067016027,3.0,6.0,0.14285714285714285,92.85714285714286,14,0.6663331332284289,-2.8761677500000147,0.8571428571428571,0.07142857142857142,0.07142857142857142,1,14.0,24.711222860845737,100885.92067016027,3.0,6.0,0.14285714285714285,92.85714285714286,14,-0.17986624700799814,-3.0558795587807617,0.25,0.125,0.625,1,8.0,24.711222860845737,93325.98825935823,3.0,5.0,0.25,87.5,8
78863,736357.4772848444,0.6663331332284289,-2.8761677500000147,0.8571428571428571,0.07142857142857142,0.07142857142857142,1,14.0,24.711222860845737,100885.92067016027,3.0,6.0,0.14285714285714285,92.85714285714286,14,0.6663331332284289,-2.8761677500000147,0.8571428571428571,0.07142857142857142,0.07142857142857142,1,14.0,24.711222860845737,100885.92067016027,3.0,6.0,0.14285714285714285,92.85714285714286,14,0.6663331332284289,-2.8761677500000147,0.8571428571428571,0.07142857142857142,0.07142857142857142,1,14.0,24.711222860845737,100885.92067016027,3.0,6.0,0.14285714285714285,92.85714285714286,14,-0.17986624700799814,-3.0558795587807617,0.25,0.125,0.625,1,8.0,24.711222860845737,93325.98825935823,3.0,5.0,0.25,87.5,8
79235,736365.4647004525,0.4706369367167662,-2.6378762085384233,0.18181818181818182,0.09090909090909091,0.7272727272727273,1,11.0,33.46394671080634,76795.84574533366,4.0,7.0,0.18181818181818182,90.9090909090909,11,0.6590535438011789,-2.7412473553022196,0.8333333333333334,0.08333333333333333,0.08333333333333333,1,12.0,33.46394671080634,81978.21943402388,3.0,6.0,0.16666666666666666,91.66666666666666,12,0.2411484242048041,-2.6231166758005307,0.2,0.1,0.7,1,10.0,33.46394671080634,76795.84574533366,3.0,6.0,0.2,90.0,10,0.6590535438011789,-2.7412473553022196,0.8333333333333334,0.08333333333333333,0.08333333333333333,1,12.0,33.46394671080634,81978.21943402388,3.0,6.0,0.16666666666666666,91.66666666666666,12
79297,736366.1926795649,0.7549809991577396,-2.6115008151678154,0.75,0.0625,0.1875,1,16.0,34.191925823222846,100885.9208363678,3.0,6.0,0.125,93.75,16,0.7549809991577396,-2.6115008151678154,0.75,0.0625,0.1875,1,16.0,34.191925823222846,100885.9208363678,3.0,6.0,0.125,93.75,16,0.027204960837203633,-2.202594670077474,0.2,0.1,0.7,1,10.0,34.191925823222846,76795.84568838787,3.0,6.0,0.2,90.0,10,0.775173512221522,-2.694140112189346,0.7333333333333333,0.06666666666666667,0.2,1,15.0,34.191925823222846,100885.9208363678,5.0,9.0,0.13333333333333333,93.33333333333333,15
79343,736367.3530752623,0.5847380217193877,-2.499214454200818,0.8571428571428571,0.07142857142857142,0.07142857142857142,1,14.0,35.352321520564146,88674.40991547154,3.0,6.0,0.14285714285714285,92.85714285714286,14,0.5847380217193877,-2.499214454200818,0.8571428571428571,0.07142857142857142,0.07142857142857142,1,14.0,35.352321520564146,88674.40991547154,3.0,6.0,0.14285714285714285,92.85714285714286,14,0.5215615518442096,-2.413341603932648,0.8461538461538461,0.07692307692307693,0.07692307692307693,1,13.0,35.352321520564146,81978.21922948174,3.0,6.0,0.15384615384615385,92.3076923076923,13,0.4748756067018613,-2.6453438025109652,0.8461538461538461,0.07692307692307693,0.07692307692307693,1,13.0,35.352321520564146,88674.40991547154,3.0,6.0,0.15384615384615385,92.3076923076923,13
79592,736369.8707583396,0.5847380217193877,-2.499214454200818,0.8571428571428571,0.07142857142857142,0.07142857142857142,1,14.0,35.352321520564146,88674.40991547154,3.0,6.0,0.14285714285714285,92.85714285714286,14,0.5847380217193877,-2.499214454200818,0.8571428571428571,0.07142857142857142,0.07142857142857142,1,14.0,35.352321520564146,88674.40991547154,3.0,6.0,0.14285714285714285,92.85714285714286,14,0.5215615518442096,-2.413341603932648,0.8461538461538461,0.07692307692307693,0.07692307692307693,1,13.0,35.352321520564146,81978.21922948174,3.0,6.0,0.15384615384615385,92.3076923076923,13,0.4748756067018613,-2.6453438025109652,0.8461538461538461,0.07692307692307693,0.07692307692307693,1,13.0,35.352321520564146,88674.40991547154,3.0,6.0,0.15384615384615385,92.3076923076923,13
79715,736371.6285873421,0.7585118378432872,-2.3936625199691197,0.6666666666666666,0.05555555555555555,0.2777777777777778,1,18.0,39.62783360038884,100885.9208363678,3.0,6.0,0.1111111111111111,94.44444444444444,18,0.7585118378432872,-2.3936625199691197,0.6666666666666666,0.05555555555555555,0.2777777777777778,1,18.0,39.62783360038884,100885.9208363678,3.0,6.0,0.1111111111111111,94.44444444444444,18,0.6609231746212612,-2.6254599491641724,0.8571428571428571,0.07142857142857142,0.07142857142857142,1,14.0,39.62783360038884,88674.40991547154,3.0,6.0,0.14285714285714285,92.85714285714286,14,0.721510947474727,-2.2407869003355234,0.7058823529411765,0.058823529411764705,0.23529411764705882,1,17.0,39.62783360038884,88674.41010456781,3.0,6.0,0.11764705882352941,94.11764705882352,17
