Index,Time[d.s],C-r(6)_T(15)_S(17)_EvLim(20),C-r(11)_T(15)_S(17)_EvLim(20),C-r(17)_T(15)_S(17)_EvLim(20),C-r(11)_T(15)_S(33)_EvLim(20),C-r(22)_T(15)_S(33)_EvLim(20),C-r(33)_T(15)_S(33)_EvLim(20),C-r(6)_T(30)_S(17)_EvLim(20),C-r(11)_T(30)_S(17)_EvLim(20),C-r(17)_T(30)_S(17)_EvLim(20),C-r(11)_T(30)_S(33)_EvLim(20),C-r(22)_T(30)_S(33)_EvLim(20),C-r(33)_T(30)_S(33)_EvLim(20)
78747,736352.5208303089,0.07575757575757576,0.12121212121212122,0.13636363636363635,0.12121212121212122,0.18181818181818182,0.48484848484848486,0.07575757575757576,0.12121212121212122,0.13636363636363635,0.09523809523809523,0.19047619047619047,0.2857142857142857
78847,736356.3225489159,0.0641025641025641,0.10256410256410256,0.14102564102564102,0.07575757575757576,0.15151515151515152,0.5,0.0641025641025641,0.10256410256410256,0.14102564102564102,0.09090909090909091,0.16363636363636364,0.4909090909090909
78851,736356.7119766026,0.054945054945054944,0.08791208791208792,0.12087912087912088,0.08791208791208792,0.15384615384615385,0.4725274725274725,0.054945054945054944,0.08791208791208792,0.12087912087912088,0.17857142857142858,0.17857142857142858,0.42857142857142855
78855,736356.9591998712,0.054945054945054944,0.08791208791208792,0.12087912087912088,0.08791208791208792,0.15384615384615385,0.4725274725274725,0.054945054945054944,0.08791208791208792,0.12087912087912088,0.17857142857142858,0.17857142857142858,0.42857142857142855
78863,736357.4772848444,0.054945054945054944,0.08791208791208792,0.12087912087912088,0.08791208791208792,0.15384615384615385,0.4725274725274725,0.054945054945054944,0.08791208791208792,0.12087912087912088,0.17857142857142858,0.17857142857142858,0.42857142857142855
79235,736365.4647004525,0.09090909090909091,0.16363636363636364,0.23636363636363636,0.13636363636363635,0.24242424242424243,0.6363636363636364,0.1111111111111111,0.2,0.28888888888888886,0.13636363636363635,0.24242424242424243,0.6363636363636364
79297,736366.1926795649,0.06666666666666667,0.10833333333333334,0.175,0.10833333333333334,0.20833333333333334,0.5166666666666667,0.17777777777777778,0.28888888888888886,0.37777777777777777,0.12380952380952381,0.20952380952380953,0.5428571428571428
79343,736367.3530752623,0.06593406593406594,0.0989010989010989,0.16483516483516483,0.0989010989010989,0.1978021978021978,0.5054945054945055,0.07692307692307693,0.11538461538461539,0.1794871794871795,0.07692307692307693,0.1794871794871795,0.5
79592,736369.8707583396,0.06593406593406594,0.0989010989010989,0.16483516483516483,0.0989010989010989,0.1978021978021978,0.5054945054945055,0.07692307692307693,0.11538461538461539,0.1794871794871795,0.07692307692307693,0.1794871794871795,0.5
79715,736371.6285873421,0.058823529411764705,0.09803921568627451,0.17647058823529413,0.09803921568627451,0.20915032679738563,0.5163398692810458,0.054945054945054944,0.0989010989010989,0.14285714285714285,0.11029411764705882,0.23529411764705882,0.5514705882352942
