Index,Time[d.s],logM_T(15)_S(17)_EvLim(20),logM_T(15)_S(33)_EvLim(20),logM_T(30)_S(17)_EvLim(20),logM_T(30)_S(33)_EvLim(20)
78747,736352.5208303089,1.150215428178566,1.150215428178566,0.575107714089283,0.5736587976067846
78847,736356.3225489159,1.1866691732382546,1.1865774788029155,0.5933345866191273,0.5931968259983716
78851,736356.7119766026,1.1875208063701925,1.1875208063701925,0.5937604031850963,0.568448082700493
78855,736356.9591998712,1.1875208063701925,1.1875208063701925,0.5937604031850963,0.568448082700493
78863,736357.4772848444,1.1875208063701925,1.1875208063701925,0.5937604031850963,0.568448082700493
79235,736365.4647004525,1.1427040444149859,1.184727034375436,0.5707916443800525,0.592363517187718
79297,736366.1926795649,1.1891303748013748,1.1891303748013748,0.5708388862815406,0.5934420158744876
79343,736367.3530752623,1.1870991319694078,1.1870991319694078,0.5930344803320479,0.5935043956346592
79592,736369.8707583396,1.1870991319694078,1.1870991319694078,0.5930344803320479,0.5935043956346592
79715,736371.6285873421,1.189679579774245,1.189679579774245,0.593419573137233,0.5944449891891146
79717,736371.7193502259,1.189679579774245,1.189679579774245,0.593419573137233,0.5944449891891146
79746,736372.5010638057,1.1893920564934441,1.1895468137451013,0.5724268867769037,0.5932382866977587
79759,736372.824233219,1.1895958932649775,1.1897495676859147,0.5728954933687154,0.5933509605781322
79760,736372.8249402477,1.1897495676859147,1.1899024307496286,0.5732411171239975,0.5934358513057567
79761,736372.8315747085,1.1901932961851183,1.1902373442350744,0.5742047140742107,0.5936807066069396
79788,736373.7391788458,1.1901932961851183,1.1902373442350744,0.5742047140742107,0.5936807066069396
79826,736375.0299575755,1.187947145945955,1.1900542818159436,0.5758265091697112,0.5936260989275054
79836,736375.9561327159,1.187947145945955,1.1900542818159436,0.5758265091697112,0.5936260989275054
79845,736376.9179841441,1.187947145945955,1.1900542818159436,0.5758265091697112,0.5936260989275054
79880,736378.337519875,1.1903658406274786,1.1880687549760973,0.5937976149938032,0.5944542485368267
79896,736378.8573860006,1.1879096034382706,1.1902657388771039,0.5939548017191353,0.5760779161372164
79966,736381.0981808496,1.1907039168144578,1.187998284611286,0.5953519584072289,0.5945874577781235
79969,736381.3049713935,1.1888052231826456,1.1888052231826456,0.5944026115913228,0.5947078665253424
79993,736382.1916868547,1.1907631273976034,1.1889885355800882,0.5953815636988017,0.5935176240784437
79995,736382.2109098262,1.1882496353275716,1.188985125856881,0.5941248176637858,0.5934124151732417
80093,736386.6214556714,1.1893503483416041,1.1886394684000627,0.5946547986583041,0.5941620529162731
80098,736386.9389379278,1.1872890238193754,1.1879205025358743,0.5936445119096877,0.5939602512679372
80129,736388.2270279784,1.1872890238193754,1.1879205025358743,0.5936445119096877,0.5939602512679372
81754,736392.808184974,1.1881021526041773,1.188708477232106,0.5951766671791676,0.594300119332626
82889,736396.5206712282,1.2017592960679973,1.2017592960679973,0.6010966571107219,0.6012895053594682
83382,736399.3214619871,1.1845235500907223,1.1508427472594043,0.5922617750453611,0.5942702772841464
