Index,Time[d.s],n_T(15)_S(17)_EvLim(20),n_T(15)_S(33)_EvLim(20),n_T(30)_S(17)_EvLim(20),n_T(30)_S(33)_EvLim(20)
78747,736352.5208,0.8,0.8,0.4,0.23333333333333334
78847,736356.3225,0.8666666666666667,0.8,0.43333333333333335,0.36666666666666664
78851,736356.712,0.9333333333333333,0.9333333333333333,0.4666666666666667,0.26666666666666666
78855,736356.9592,0.9333333333333333,0.9333333333333333,0.4666666666666667,0.26666666666666666
78863,736357.4773,0.9333333333333333,0.9333333333333333,0.4666666666666667,0.26666666666666666
79235,736365.4647,0.7333333333333333,0.8,0.3333333333333333,0.4
79297,736366.1927,1.0666666666666667,1.0666666666666667,0.3333333333333333,0.5
79343,736367.3531,0.9333333333333333,0.9333333333333333,0.43333333333333335,0.43333333333333335
79592,736369.8708,0.9333333333333333,0.9333333333333333,0.43333333333333335,0.43333333333333335
79715,736371.6286,1.2,1.2,0.4666666666666667,0.5666666666666667
79717,736371.7194,1.2,1.2,0.4666666666666667,0.5666666666666667
79746,736372.5011,1.1333333333333333,1.2,0.43333333333333335,0.5333333333333333
79759,736372.8242,1.2,1.2666666666666666,0.4666666666666667,0.5666666666666667
79760,736372.8249,1.2666666666666666,1.3333333333333333,0.5,0.6
79761,736372.8316,1.3333333333333333,1.3333333333333333,0.5333333333333333,0.6333333333333333
79788,736373.7392,1.3333333333333333,1.3333333333333333,0.5333333333333333,0.6333333333333333
79826,736375.03,1.3333333333333333,1.2666666666666666,0.43333333333333335,0.5
79836,736375.9561,1.3333333333333333,1.2666666666666666,0.43333333333333335,0.5
79845,736376.918,1.3333333333333333,1.2666666666666666,0.43333333333333335,0.5
79880,736378.3375,1.3333333333333333,1.3333333333333333,0.5333333333333333,0.6666666666666666
79896,736378.8574,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6
79966,736381.0982,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
79969,736381.305,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.5333333333333333
79993,736382.1917,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
79995,736382.2109,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
80093,736386.6215,1.3333333333333333,1.3333333333333333,0.5666666666666667,0.6666666666666666
80098,736386.9389,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
80129,736388.227,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
81754,736392.8082,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
82889,736396.5207,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
83382,736399.3215,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
83542,736400.1788,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
84051,736403.9799,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
84206,736405.2173,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
84259,736405.6928,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
84260,736405.6943,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
84302,736406.2053,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
84342,736406.8074,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
84506,736409.4114,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
84615,736411.0301,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
84616,736411.0359,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
84617,736411.0362,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
84660,736411.7344,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
84744,736413.0347,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
84796,736413.8771,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
84889,736415.6532,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
84918,736416.0591,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
84966,736416.925,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
85013,736417.5896,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
