Index,Time[d.s],IEt_T(15)_S(17)_EvLim(20),IEt_T(15)_S(33)_EvLim(20),IEt_T(30)_S(17)_EvLim(20),IEt_T(30)_S(33)_EvLim(20)
78747,736352.5208303089,9.117370693944395,9.117370693944395,9.117370693944395,18.901491210912354
78847,736356.3225489159,9.117370693944395,9.818312374991365,9.117370693944395,9.818312374991365
78851,736356.7119766026,9.117370693944395,9.117370693944395,9.117370693944395,19.61635592544917
78855,736356.9591998712,9.117370693944395,9.117370693944395,9.117370693944395,19.61635592544917
78863,736357.4772848444,9.117370693944395,9.117370693944395,9.117370693944395,19.61635592544917
79235,736365.4647004525,14.489280416164547,9.142151536652818,14.489280416164547,9.142151536652818
79297,736366.1926795649,9.117370693944395,9.117370693944395,14.489280416164547,9.117370693944395
79343,736367.3530752623,11.030526346410625,11.030526346410625,11.030526346410625,11.030526346410625
79592,736369.8707583396,11.030526346410625,11.030526346410625,11.030526346410625,11.030526346410625
79715,736371.6285873421,9.117370693944395,9.117370693944395,15.306038426235318,9.142151536652818
79717,736371.7193502259,9.117370693944395,9.117370693944395,15.306038426235318,9.142151536652818
79746,736372.5010638057,9.117370693944395,9.117370693944395,14.489280416164547,9.142151536652818
79759,736372.824233219,9.117370693944395,9.117370693944395,14.489280416164547,9.142151536652818
79760,736372.8249402477,9.117370693944395,9.117370693944395,14.489280416164547,9.142151536652818
79761,736372.8315747085,9.117370693944395,9.117370693944395,14.489280416164547,9.142151536652818
79788,736373.7391788458,9.117370693944395,9.117370693944395,14.489280416164547,9.142151536652818
79826,736375.0299575755,9.117370693944395,9.117370693944395,22.50912726658862,15.306038426235318
79836,736375.9561327159,9.117370693944395,9.117370693944395,22.50912726658862,15.306038426235318
79845,736376.9179841441,9.117370693944395,9.117370693944395,22.50912726658862,15.306038426235318
79880,736378.337519875,9.117370693944395,9.117370693944395,15.306038426235318,11.030526346410625
79896,736378.8573860006,9.117370693944395,9.117370693944395,9.117370693944395,9.117370693944395
79966,736381.0981808496,9.117370693944395,9.117370693944395,9.117370693944395,9.142151536652818
79969,736381.3049713935,9.117370693944395,9.117370693944395,9.117370693944395,15.840270941029303
79993,736382.1916868547,9.117370693944395,9.117370693944395,9.117370693944395,9.870130649069324
79995,736382.2109098262,9.117370693944395,9.117370693944395,9.117370693944395,9.870130649069324
80093,736386.6214556714,8.752723849960603,9.117370693944395,20.428776106447913,9.117370693944395
80098,736386.9389379278,8.752723849960603,9.117370693944395,8.752723849960603,9.117370693944395
80129,736388.2270279784,8.752723849960603,9.117370693944395,8.752723849960603,9.117370693944395
81754,736392.808184974,14.470665098982863,10.597275147796609,14.470665098982863,10.597275147796609
82889,736396.5206712282,9.899215556797571,9.899215556797571,9.899215556797571,9.899215556797571
83382,736399.3214619871,5.869247046182863,8.752723849960603,5.869247046182863,11.503213580464944
83542,736400.1788471275,8.752723849960603,5.869247046182863,14.470665098982863,10.597275147796609
84051,736403.9798852889,5.869247046182863,5.869247046182863,17.967937301262282,10.597275147796609
84206,736405.2172648703,5.869247046182863,5.869247046182863,17.967937301262282,10.597275147796609
84259,736405.6927815959,5.869247046182863,5.869247046182863,17.967937301262282,10.597275147796609
84260,736405.6943377539,9.173666525748558,6.372875766828656,15.422490378608927,9.899215556797571
84302,736406.2053082178,9.173666525748558,6.372875766828656,15.422490378608927,9.899215556797571
84342,736406.8073902237,7.370662153465673,5.869247046182863,14.470665098982863,10.597275147796609
84506,736409.4114442819,5.869247046182863,5.869247046182863,27.200534455711022,13.557391456095502
84615,736411.0301297993,5.869247046182863,5.869247046182863,27.200534455711022,13.557391456095502
84616,736411.0358808687,5.869247046182863,5.869247046182863,27.200534455711022,13.557391456095502
84617,736411.0361628748,5.869247046182863,9.173666525748558,24.0972249469487,9.581733300350606
84660,736411.7344468365,5.869247046182863,5.869247046182863,10.597275147796609,10.597275147796609
84744,736413.0346659237,5.869247046182863,5.869247046182863,10.597275147796609,10.597275147796609
84796,736413.8770996481,5.869247046182863,5.869247046182863,10.597275147796609,10.597275147796609
84889,736415.6531676596,5.869247046182863,5.869247046182863,7.370662153465673,5.869247046182863
84918,736416.0591277172,5.869247046182863,5.869247046182863,7.370662153465673,5.869247046182863
84966,736416.9249881544,5.869247046182863,5.869247046182863,7.370662153465673,5.869247046182863
85013,736417.5895696637,5.869247046182863,5.869247046182863,7.370662153465673,5.869247046182863
85017,736417.6677688587,5.869247046182863,5.869247046182863,7.370662153465673,5.869247046182863
85085,736418.8662566455,7.830093770753592,7.830093770753592,7.830093770753592,7.830093770753592
85094,736418.980096847,5.869247046182863,5.869247046182863,22.459425618872046,5.869247046182863
85121,736419.5695053007,5.869247046182863,5.869247046182863,22.459425618872046,5.869247046182863
85129,736419.8824112739,5.869247046182863,5.869247046182863,22.459425618872046,5.869247046182863
85162,736420.4753203047,13.66793008102104,5.869247046182863,13.99920524971094,6.513277013087645
85169,736420.6046937226,5.869247046182863,7.830093770753592,5.869247046182863,9.173666525748558
85222,736421.5890243981,5.869247046182863,7.830093770753592,5.869247046182863,9.173666525748558
85298,736423.5219607478,5.869247046182863,5.869247046182863,13.285759093123488,5.869247046182863
85395,736425.4954203919,5.869247046182863,5.869247046182863,10.782179440022446,5.869247046182863
85514,736428.8661635749,5.869247046182863,5.869247046182863,10.782179440022446,5.869247046182863
85553,736429.8949614189,9.290267696371302,9.290267696371302,9.290267696371302,9.290267696371302
85582,736430.457789359,6.935828611254692,6.935828611254692,13.285759093123488,6.935828611254692
85609,736430.9630623359,11.98296548880171,4.962368967127986,11.98296548880171,5.869247046182863
85610,736430.9654603208,11.98296548880171,4.962368967127986,11.98296548880171,4.962368967127986
85617,736431.0194263319,11.98296548880171,4.962368967127986,11.98296548880171,4.962368967127986
85624,736431.1813445565,4.399541027029045,6.373000671155751,20.14518168172799,7.830093770753592
85758,736433.7673682701,4.399541027029045,5.467641943949275,13.297691462095827,5.869247046182863
85775,736433.9940583762,4.399541027029045,5.467641943949275,13.297691462095827,5.869247046182863
85796,736434.2966482104,4.399541027029045,5.467641943949275,13.297691462095827,5.869247046182863
85856,736435.3743735303,8.271947878180072,5.467641943949275,8.271947878180072,5.869247046182863
85875,736435.8750407825,5.417251423466951,6.935828611254692,11.477692511980422,6.935828611254692
