Index,Time[d.s],logV_T(15)_S(17)_EvLim(20),logV_T(15)_S(33)_EvLim(20),logV_T(30)_S(17)_EvLim(20),logV_T(30)_S(33)_EvLim(20)
78747,736352.5208303089,9.573467450358134,9.573467450358134,9.573467450358134,9.090068936713765
78847,736356.3225489159,9.573467450358134,9.573467450358134,9.573467450358134,9.290163516869397
78851,736356.7119766026,9.711461682845993,9.711461682845993,9.711461682845993,9.183395313063064
78855,736356.9591998712,9.711461682845993,9.711461682845993,9.711461682845993,9.183395313063064
78863,736357.4772848444,9.711461682845993,9.711461682845993,9.711461682845993,9.183395313063064
79235,736365.4647004525,9.541515938117316,9.64060708512917,9.541515938117316,9.64060708512917
79297,736366.1926795649,9.89859988506022,9.89859988506022,9.281881589728558,9.890483092368354
79343,736367.3530752623,9.633777003580667,9.633777003580667,9.565635832481961,9.633777003580667
79592,736369.8707583396,9.633777003580667,9.633777003580667,9.565635832481961,9.633777003580667
79715,736371.6285873421,9.92729543147759,9.92729543147759,9.601010608480843,9.779894524395706
79717,736371.7193502259,9.92729543147759,9.92729543147759,9.601010608480843,9.779894524395706
79746,736372.5010638057,9.89859988506022,9.904063667691007,9.547111707899937,9.73535481321569
79759,736372.824233219,9.89859988506022,9.904063667691007,9.547111707899937,9.73535481321569
79760,736372.8249402477,9.89859988506022,9.904063667691007,9.547111707899937,9.73535481321569
79761,736372.8315747085,9.89859988506022,9.89670026323547,9.551998346629043,9.73535481321569
79788,736373.7391788458,9.89859988506022,9.89670026323547,9.551998346629043,9.73535481321569
79826,736375.0299575755,9.94579996457456,10.037941910582186,9.774099749658705,9.774099749658705
79836,736375.9561327159,9.94579996457456,10.037941910582186,9.774099749658705,9.774099749658705
79845,736376.9179841441,9.94579996457456,10.037941910582186,9.774099749658705,9.774099749658705
79880,736378.337519875,10.037941910582186,9.94579996457456,9.774099749658705,9.778470859735934
79896,736378.8573860006,9.936782724922653,9.917871812202165,9.936782724922653,9.775054280958898
79966,736381.0981808496,9.891142452770994,9.83192796238421,9.891142452770994,9.703782644331742
79969,736381.3049713935,10.030676635832378,10.030676635832378,10.030676635832378,10.001840126733201
79993,736382.1916868547,10.041537773243965,9.89693016418581,10.041537773243965,9.616457331843645
79995,736382.2109098262,9.940482991904036,9.940482991904036,9.940482991904036,9.549417951056117
80093,736386.6214556714,9.994125837924528,9.864766531416148,9.89859988506022,9.829312593151641
80098,736386.9389379278,10.051097779765003,10.020446233614845,10.051097779765003,10.020446233614845
80129,736388.2270279784,10.051097779765003,10.020446233614845,10.051097779765003,10.020446233614845
81754,736392.808184974,9.891905303535857,9.940482991904036,9.989846655466746,9.940482991904036
82889,736396.5206712282,9.965123532213882,9.965123532213882,9.727719961618657,9.75781536425621
83382,736399.3214619871,9.924226386555747,10.03024458153982,9.924226386555747,9.898433099334762
83542,736400.1788471275,10.023489654539873,9.915585083093625,9.94883236395161,9.721249905828302
84051,736403.9798852889,9.760815064420017,9.725749495069705,9.78965976070793,9.692648766113825
84206,736405.2172648703,9.760815064420017,9.725749495069705,9.78965976070793,9.692648766113825
84259,736405.6927815959,9.760815064420017,9.725749495069705,9.78965976070793,9.692648766113825
84260,736405.6943377539,9.915585083093625,9.760815064420017,9.864130832192277,9.851046220939043
84302,736406.2053082178,9.915585083093625,9.760815064420017,9.864130832192277,9.851046220939043
84342,736406.8073902237,9.915585083093625,9.718239425312124,9.891905303535857,9.544963292116712
84506,736409.4114442819,9.78772861252568,9.78772861252568,10.020035703675294,9.958188033664443
84615,736411.0301297993,9.78772861252568,9.78772861252568,10.020035703675294,9.958188033664443
84616,736411.0358808687,9.78772861252568,9.78772861252568,10.020035703675294,9.958188033664443
84617,736411.0361628748,9.82491821927768,9.765573592831963,10.03136175922478,9.889174816491796
84660,736411.7344468365,9.718239425312124,9.78772861252568,9.781496661084166,9.599179741878133
84744,736413.0346659237,9.718239425312124,9.78772861252568,9.781496661084166,9.599179741878133
84796,736413.8770996481,9.718239425312124,9.78772861252568,9.781496661084166,9.599179741878133
84889,736415.6531676596,9.718239425312124,9.78772861252568,9.667470363059419,9.744850530797503
84918,736416.0591277172,9.718239425312124,9.78772861252568,9.667470363059419,9.744850530797503
84966,736416.9249881544,9.718239425312124,9.78772861252568,9.667470363059419,9.744850530797503
85013,736417.5895696637,9.718239425312124,9.748801499260892,9.667470363059419,9.744850530797503
85017,736417.6677688587,9.718239425312124,9.739587904127665,9.667470363059419,9.707874510382133
85085,736418.8662566455,9.836562624650883,9.836562624650883,9.836562624650883,9.836562624650883
85094,736418.980096847,9.638436981113216,9.654368912374686,9.915585083093625,9.699199810486327
85121,736419.5695053007,9.638436981113216,9.654368912374686,9.915585083093625,9.699199810486327
85129,736419.8824112739,9.638436981113216,9.654368912374686,9.915585083093625,9.699199810486327
85162,736420.4753203047,9.779049963179007,9.708198240925265,9.944499899808196,9.779049963179007
85169,736420.6046937226,9.706458421894437,9.784084129199497,9.706458421894437,9.733928721636145
85222,736421.5890243981,9.706458421894437,9.784084129199497,9.706458421894437,9.733928721636145
85298,736423.5219607478,9.638436981113216,9.698842473440921,9.725749495069705,9.628456928937917
85395,736425.4954203919,9.752265032322908,9.626477096145138,9.779098063504476,9.708254864264285
85514,736428.8661635749,9.752265032322908,9.626477096145138,9.779098063504476,9.708254864264285
85553,736429.8949614189,9.722986129158775,9.722986129158775,9.828575126529053,9.828575126529053
85582,736430.457789359,9.681829907034896,9.740423921905894,9.853105970294198,9.740423921905894
85609,736430.9630623359,9.57033490694913,9.563586826011965,9.637741573746695,9.655104700830323
85610,736430.9654603208,9.57033490694913,9.55679053853623,9.654368912374686,9.45071826655512
85617,736431.0194263319,9.57033490694913,9.55679053853623,9.654368912374686,9.45071826655512
85624,736431.1813445565,9.740927805390907,9.781015378881055,9.75932919049701,9.84245008711969
85758,736433.7673682701,9.733739720095496,9.600811748084913,9.674039144905452,9.548039006448196
85775,736433.9940583762,9.733739720095496,9.600811748084913,9.674039144905452,9.548039006448196
85796,736434.2966482104,9.733739720095496,9.600811748084913,9.674039144905452,9.548039006448196
85856,736435.3743735303,9.645802967580106,9.64471295078687,9.51206905635728,9.430334709713538
85875,736435.8750407825,9.743775215847796,9.703447836407248,9.70220758664862,9.649259148650067
85950,736437.418688408,9.743775215847796,9.703447836407248,9.70220758664862,9.649259148650067
85972,736437.9878239571,9.743775215847796,9.703447836407248,9.70220758664862,9.649259148650067
85999,736438.4781176616,9.743775215847796,9.703447836407248,9.70220758664862,9.649259148650067
86086,736440.1748110827,9.70760200857393,9.79024430897539,9.650476335602448,9.627299786225063
86140,736441.047356516,9.70760200857393,9.79024430897539,9.650476335602448,9.627299786225063
86205,736442.7546663126,9.70760200857393,9.79024430897539,9.650476335602448,9.627299786225063
86310,736445.4466078234,9.741937420462566,9.76004544232623,9.730682092263995,9.793296561329448
86411,736446.7019615702,9.741937420462566,9.76004544232623,9.730682092263995,9.793296561329448
86461,736447.4914611196,9.725777268978828,9.741937420462566,9.68014475451139,9.615200012807705
86503,736448.3912684021,9.848957052176152,9.848957052176152,9.814481377079272,9.742930867295245
86505,736448.3931699167,9.858566895219276,9.858566895219276,9.82487574775049,9.75297928972683
86577,736449.8439159422,9.725777268978828,9.725777268978828,9.664190019520651,9.665672565917081
86587,736450.1064885663,9.725777268978828,9.725777268978828,9.664190019520651,9.665672565917081
86690,736452.1868877016,9.725777268978828,9.741937420462566,9.661071774899005,9.616900625329677
86722,736452.748121311,9.851139566598897,9.727183158287776,9.767585558388179,9.677520275585888
86735,736453.0113888994,9.851139566598897,9.727183158287776,9.767585558388179,9.677520275585888
86737,736453.0416733748,9.851139566598897,9.727183158287776,9.767585558388179,9.677520275585888
86835,736454.6887224431,9.851139566598897,9.727183158287776,9.767585558388179,9.677520275585888
86858,736455.3413526501,9.851139566598897,9.727183158287776,9.767585558388179,9.677520275585888
86872,736455.5298389825,9.866424957910242,9.866424957910242,9.866424957910242,9.701481314449781
86903,736456.0070090202,9.866424957910242,9.866424957910242,9.866424957910242,9.701481314449781
86936,736456.8171144929,9.747659515579038,9.737920511384319,9.646635594527373,9.658422939915603
86981,736457.6590609616,9.747659515579038,9.737920511384319,9.646635594527373,9.658422939915603
87010,736458.4040822939,9.732067771077494,9.737920511384319,9.537174257491621,9.72188840244121
87025,736458.8119854907,9.732067771077494,9.737920511384319,9.537174257491621,9.72188840244121
87072,736459.9835299482,9.732067771077494,9.737920511384319,9.537174257491621,9.72188840244121
87102,736460.8914842231,9.732067771077494,9.737920511384319,9.537174257491621,9.72188840244121
87340,736467.058445922,9.732067771077494,9.737920511384319,9.537174257491621,9.72188840244121
87357,736467.5327648005,9.86844413824714,9.871697794339678,9.745636398912533,9.855962427414212
87376,736468.1047825807,9.86844413824714,9.871697794339678,9.745636398912533,9.855962427414212
87380,736468.1982527536,9.918166616475933,9.918166616475933,9.929734532991011,9.922257235995168
87445,736470.3820840215,9.918166616475933,9.918166616475933,9.929734532991011,9.922257235995168
