GENIE_ID,UTM_Easting[m],UTM_Northing[m],Depth[m],Time[d.s],Magnitude,Scaled_E,Cluster
1596129,256156.51,4858519.47,15130,732070.3964,1.57,-11.45,0
1596159,356559.24,4798559.59,10,732070.4309,1.84,-5.99,0
1596219,356857.7,4800397.66,2950,732070.6464,1.51,-6.45,0
1596259,344054.8,4744557.9,10590,732070.7679,1.88,-5.87,0
1596379,329151.81,4688665.88,14600,732071.1878,1.9,-5.69,0
1596459,315893.56,4790407.93,2000,732071.7627,2.49,-5.9,0
1596699,322950.31,4791520.42,2460,732074.0241,1.77,-6.55,0
1596839,328916.8,4768064.13,4000,732074.5835,2.17,-5.91,0
1596859,297938.44,4807092.58,2660,732074.6906,1.54,-5.72,0
1597049,325800.63,4794336.05,8850,732076.3701,1.88,-6.37,0
1597069,355537.18,4798559.11,210,732076.4206,1.58,-6.2,0
1597119,318082.36,4733415.72,12890,732076.5987,2.77,-5.73,0
1597329,377205.91,4720570.85,11580,732078.0773,1.69,-6.23,0
1597349,377169.63,4720838.08,11530,732078.0781,1.64,-5.89,0
1597339,377169.63,4720838.08,11490,732078.0781,1.67,-5.75,0
1597399,321686.32,4794420.82,1880,732078.269,1.66,-6.28,0
1597549,376731.6,4720190.48,12610,732079.1238,2.42,-5.84,0
1597559,377422.57,4719833.89,10530,732079.1373,1.59,-6.54,0
1597569,379072.39,4717061.33,10780,732079.1863,1.67,-5.87,0
1597649,353728.64,4807564.59,5290,732079.4357,1.63,-6.3,0
1597699,313828.21,4749087.58,4010,732079.6564,1.69,-6.33,0
1597729,360878.51,4752096.22,16610,732080.0263,2.32,-5.99,0
1597809,224712.64,4836272.05,22410,732080.2048,1.93,-6,0
1597869,310242.98,4813404.5,15840,732080.5325,1.95,-5.93,0
1597889,320926.24,4781904.81,2530,732080.6661,1.98,-6,0
1597949,362027.7,4726632.84,13760,732081.078,1.85,-5.97,0
1598109,327860.16,4715786.59,9610,732081.5838,1.91,-6.2,0
1598129,375630.14,4722809.42,7150,732081.6925,1.81,-6.45,0
1598419,327046.53,4759199,15320,732083.0395,2.27,-5.92,0
1598469,343322.13,4780685.59,8320,732083.3482,1.78,-6.21,0
1598499,355352.16,4798251.96,0,732083.5712,1.87,-5.83,0
1598549,353082.82,4764446.53,20700,732083.8772,2.07,-6.03,0
1598809,349556.9,4807578.51,0,732085.4337,1.81,-6.22,0
1598929,366198.02,4772287.39,13950,732086.1792,2.05,-6.08,0
1598939,315705.09,4791246.6,2370,732086.2944,1.82,-6.21,0
1599009,339694.28,4769602.88,6740,732086.7041,2.03,-5.71,0
1599039,321401.07,4785426.39,17370,732086.7633,2.21,-5.56,0
1599049,320380.44,4778173.98,29770,732086.7989,1.76,-6.51,0
1599089,321798.57,4785082.55,15450,732086.9473,1.57,-6.48,0
1599169,363839.94,4772445.13,19670,732087.5272,2.92,-5.51,0
1599209,329189.63,4746921.96,5700,732087.7282,1.62,-5.74,0
1599679,359968.9,4749137.33,2420,732088.57,1.71,-6.14,0
1599709,335861.71,4766415.93,10000,732088.6183,2.07,-6.07,0
1599979,347951.58,4774913.98,4000,732089.5107,1.81,-6.03,0
1600179,326800.32,4777152.05,6190,732090.3276,1.63,-6.33,0
1600199,306717.11,4847185.38,990,732090.3873,1.82,-5.42,0
1600249,371721.25,4772881.21,16800,732090.6221,2.25,-5.75,0
1600299,380455.28,4727289.82,13800,732090.9698,1.87,-5.98,0
1600309,336000.34,4716922.95,11320,732091.0118,2.01,-5.91,0
1600319,339276.17,4716924.14,11410,732091.0162,1.72,-5.99,0
1600379,358357.65,4745481.94,25970,732091.2336,1.54,-6.16,0
1600529,346791.6,4722664.78,12350,732092.3578,2.15,-5.76,0
1600559,346272.89,4760707.37,11070,732092.7273,1.78,-6.4,0
1600989,296630.6,4825229.46,45190,732094.363,1.74,-5.42,0
1601139,327719.83,4771339.06,170,732094.8965,2.12,-5.98,0
1601289,297532.54,4813552.16,2220,732095.1668,1.65,-5.86,0
1601449,317215.27,4803542.33,1400,732095.6697,1.58,-6.46,0
1601459,342210.24,4691992.54,4000,732095.7225,1.69,-6.08,0
1601479,346423.5,4723450.64,11570,732095.7442,1.88,-6.06,0
1601489,327258.3,4771128.48,0,732095.7521,1.73,-6.64,0
1601509,330123.13,4766756.13,4000,732095.8618,1.76,-6.39,0
1601539,357951.54,4711684.59,8290,732095.9135,1.96,-6.14,0
1601589,292463.68,4802789.76,34890,732096.0184,1.68,-6.62,0
1601629,327422.25,4770846.51,0,732096.0865,1.87,-6.22,0
1601709,317057.11,4789265.07,2580,732096.4697,2.09,-6.21,0
1601739,323212.63,4797214.76,12450,732096.6403,2.02,-6.17,0
1602099,332193.33,4768071.79,8540,732098.1052,2.02,-6.29,0
1602109,323664.83,4776143.39,1340,732098.1599,1.58,-6.39,0
1602239,365019.84,4718231.2,13840,732098.7412,1.93,-6.17,0
1602349,361120.45,4749924.96,4000,732099.2103,2.02,-6.08,0
1602469,325763.36,4757197.93,3820,732099.9319,1.62,-6.46,0
1602549,329031.39,4758615.81,4000,732100.1518,2.21,-6.01,0
1602559,330484.86,4759635.36,4000,732100.2414,1.89,-6.36,0
1602689,319203.78,4804822.52,12910,732100.7755,1.83,-6.38,0
1602699,370101.03,4773300.69,15300,732100.7898,1.83,-6.18,0
1602769,329867.52,4669849.37,4010,732101.3644,1.67,-5.99,0
1602869,343870.14,4722241.12,4830,732101.6746,2.19,-6.11,0
1602889,343953.13,4722283.69,4940,732101.6959,2.5,-5.87,0
1602899,297809.91,4803339.18,2980,732101.7159,1.5,-6.37,0
1603249,289750.92,4802951.4,30510,732102.7003,1.66,-6.63,0
1603269,311181.27,4710407.85,14530,732102.7248,1.89,-5.76,0
1603299,273709.2,4807283.14,54760,732102.836,2.17,-6.26,0
1603479,358109.54,4706537.92,15370,732103.8243,1.8,-5.94,0
1603519,331252.55,4791564.41,43200,732103.9189,2.63,-5.32,0
1603549,339996.02,4744428.82,4000,732104.0551,1.91,-6.43,0
1603659,358040.21,4764486.29,4010,732104.918,1.99,-5.98,0
1603759,331563.17,4830863.44,28440,732106.5915,2.15,-6.08,0
1603779,328587.78,4749014.88,5310,732106.9542,2.05,-5.8,0
1603789,328874.23,4748374.36,9990,732106.9551,1.97,-6.16,0
1603849,356622.89,4710989.76,9480,732107.2679,2.03,-5.79,0
1603879,326925.92,4748256.44,4000,732107.6379,1.96,-6.13,0
1604099,358631.26,4764685.14,360,732109.1359,2.07,-5.86,0
1604289,315694.35,4740624.65,4000,732110.7171,1.77,-5.95,0
1604379,359814.43,4723788.93,4000,732111.041,1.83,-5.92,0
1604689,376124.34,4770578.06,11160,732112.7884,1.95,-6.15,0
1604739,302777.31,4787275.15,6520,732112.8955,1.69,-6.37,0
1604759,329042.6,4774061.71,34300,732113.0095,1.89,-6.61,0
1604779,324527.46,4771064.76,10000,732113.1999,1.61,-6.19,0
1604889,331853.77,4745878.5,9820,732113.8467,1.75,-6.11,0
1605099,332474.02,4683830.37,11620,732114.8631,2.41,-5.75,0
1605239,320260.22,4780711.01,15330,732115.3912,1.73,-6.17,0
1605589,353537.67,4798746.53,1070,732117.4231,1.76,-6.21,0
1605599,333492.57,4815845.88,2160,732117.5504,1.55,-6.15,0
1605689,360859.1,4765206.06,21890,732118.0046,3.31,-5.41,0
1605739,339243.19,4764624.42,4340,732118.8194,2.18,-5.82,0
1605829,310013.69,4792537.28,8380,732119.2678,2.27,-5.95,0
1605859,335204.35,4817670.71,0,732119.6058,2.11,-6.28,0
1605919,347746.99,4743653.08,11330,732120.1158,1.87,-6.06,0
1605929,237388.48,4865442.42,12670,732120.1217,2.75,-5.89,0
1606119,324355.08,4783015.65,14920,732121.1467,1.76,-6.37,0
1606219,361191.87,4773553.93,20130,732122.3717,2.27,-5.79,0
1606249,329097.53,4814866.92,18870,732122.6435,2.11,-5.9,0
1606389,350727.76,4745354.34,10960,732123.805,1.75,-6,0
1606439,321940.6,4777766.29,2250,732123.999,1.59,-6.41,0
1606479,301089.99,4729727.33,10970,732124.1133,3.13,-5.32,0
1606619,313694.34,4809362.47,11500,732124.6227,1.61,-6.32,0
1606629,355226.41,4766733.98,4180,732124.7201,2.45,-5.72,0
1606639,347379.8,4770093.48,12740,732124.7408,1.9,-6.29,0
1606649,345971.35,4769047.34,4010,732124.7512,1.55,-6.3,0
1606659,347476.27,4770035.78,12000,732124.8032,1.92,-6.06,0
1606699,347451.72,4768936.34,4010,732124.8846,2.43,-5.77,0
1606749,299837.53,4804701.66,7820,732125.1686,1.69,-5.59,0
1606789,357892.76,4707597.69,6470,732125.2947,2.01,-5.91,0
1606809,334166.64,4818240.74,1230,732125.5442,1.75,-6.4,0
1606949,356855.59,4766699.67,11870,732126.2968,2.22,-5.88,0
1607009,328812.94,4726763.42,23800,732126.7697,1.63,-6.14,0
1607029,301365.74,4729908.35,13990,732127.0152,2.11,-5.81,0
1607099,356494.61,4798572.07,0,732127.4189,1.95,-6.08,0
1607179,356941.7,4802451.38,5100,732128.3311,1.81,-6.18,0
1607199,346698.65,4821510.4,13830,732128.6246,1.99,-12.09,0
1607209,349933.93,4718152.13,6220,732128.6426,1.71,-5.72,0
1607229,334222.84,4767744.45,4000,732128.8843,1.85,-6.42,0
1607319,306544.85,4707445.71,10010,732129.8165,1.82,-6.1,0
1607339,331738.79,4766160.56,1620,732129.9659,1.77,-6.33,0
1607639,360502.17,4756481.06,9160,732132.5722,1.85,-5.79,0
1607719,314724.24,4816169.58,0,732133.35,2.07,-5.96,0
1607739,357693.11,4765826.71,10520,732133.5701,2.13,-5.93,0
1607749,352701.37,4798709.12,1450,732133.6076,1.74,-6.3,0
1607889,259976.34,4861750.23,780,732134.7541,2.43,-5.77,0
1607899,330209.36,4764976.02,8420,732134.8342,1.9,-6.73,0
1607929,366798.39,4694036.28,14410,732135.0414,1.75,-5.8,0
1607999,293551.48,4815262.68,1310,732135.7222,2.17,-6.23,0
1608019,330745.08,4765207.22,4000,732135.888,1.69,-6.57,0
1608099,279392.3,4801524.87,32700,732136.9917,1.82,-6.4,0
1608269,311626.8,4796215.65,7360,732138.3268,1.93,-6.09,0
1608339,332315.09,4753723.25,11730,732138.6048,2.53,-5.7,0
1608439,352234.13,4798485.98,1750,732139.4233,1.66,-11.59,0
1608459,363293.82,4668788.6,4000,732139.8389,1.59,-5.81,0
1608479,335309.75,4680930.14,6850,732139.8812,1.64,-6.05,0
1608549,379137.22,4697122.17,8170,732140.5675,1.75,-6.03,0
1608569,357126.55,4711512.63,10990,732140.7263,1.87,-6.03,0
1608779,355199.12,4797544.14,0,732142.4316,2.09,-6.19,0
1608899,328859.96,4769699.08,23500,732142.8564,1.83,-6.67,0
1609019,339399.12,4696944.92,4010,732143.6241,1.79,-6.17,0
1609029,343174.52,4696414.78,4050,732143.6423,1.63,-6.12,0
1609109,331256.93,4763149.94,4520,732144.0757,1.58,-6.29,0
1609189,373933.85,4712931.68,16920,732145.0455,1.51,-6.15,0
1609219,291896.19,4820649.79,1740,732145.2039,1.61,-6.05,0
1609239,290744.56,4808834.75,7560,732145.2604,2.02,-5.56,0
1609329,310997.34,4792565.37,4010,732146.2863,2.47,-5.58,0
1609439,348825.63,4774683.44,4010,732147.0985,1.72,-6.18,0
1609639,320908.81,4783405.58,4010,732149.1274,1.76,-6.26,0
1609649,337708.83,4743493.46,8260,732149.2681,2.1,-5.89,0
1609669,348458.04,4807347.53,360,732149.7109,1.74,-6.22,0
1609739,316338.95,4807100.43,12530,732150.2144,1.77,-5.87,0
1609749,316484.29,4807974.51,13300,732150.2174,1.86,-6.59,0
1609959,302371.49,4809540.19,6030,732151.4719,2.08,-5.99,0
1610129,349200.85,4727833.61,4000,732152.4177,1.92,-5.92,0
1610269,316403.39,4738360.92,18020,732153.4455,2.09,-5.87,0
1610329,316281.19,4739919.98,13470,732153.784,2.34,-5.9,0
1610369,352610.24,4692132.41,7600,732154.0202,1.95,-6.04,0
1610529,287977.02,4800194.18,390,732154.7219,1.51,-6.61,0
1610589,334690.32,4810237.74,40,732155.106,2.07,-5.93,0
1610609,338275.09,4696759.75,4000,732155.1588,1.73,-6,0
1610669,293004.05,4818525.61,1730,732155.5718,2.21,-5.7,0
1610909,306968.2,4807917.65,12020,732156.9058,1.77,-6.38,0
1610929,318381.1,4806789.55,8750,732157.0202,1.62,-6.54,0
1610959,300924.96,4805003,7000,732157.0469,2.07,-5.79,0
1610989,284945.59,4794186.44,10,732157.2234,1.51,-6.5,0
1611249,380457.89,4769723.21,4040,732159.1503,1.69,-6.19,0
1611369,354447.08,4676619.48,8860,732160.0102,2.36,-5.78,0
1611379,338985.6,4736174.68,4130,732160.0471,2.57,-5.66,0
1611479,355670.86,4677516.26,7660,732160.8882,1.69,-6.21,0
1611519,329166.51,4665477.71,8540,732161.2083,1.86,-5.96,0
1611819,361060.59,4703645.73,4010,732163.6236,2.35,-5.65,0
1611869,354783.33,4704717.9,4010,732163.8919,2.13,-5.81,0
1611939,363051.53,4662261.92,7910,732164.3971,3.35,-5.39,0
1612119,362388.63,4707596.27,3780,732165.8055,1.53,-6.01,0
1612129,360449.84,4704357.77,13860,732165.8094,2.01,-5.76,0
1612149,322001.94,4784154.82,22180,732166.0145,2.49,-5.69,0
1612309,351947.08,4732451.54,4850,732166.9182,1.79,-5.95,0
1612379,362825.02,4663377.09,9660,732167.3309,1.88,-5.8,0
1612399,329616.8,4693543.32,38780,732167.4384,2.05,-5.89,0
1612459,345438.63,4766026.06,9460,732167.8828,1.97,-6.01,0
1612549,358368.26,4690902.65,11600,732168.3172,2.36,-5.67,0
1612569,369436.59,4659975.12,7150,732168.5271,1.56,-6,0
1612579,369286.74,4659478.06,9910,732168.5298,1.93,-11.99,0
1612619,360209.88,4707561.9,15090,732168.837,2.3,-6.06,0
1612659,353236.78,4719092.48,19500,732169.1725,2.31,-5.8,0
1612669,352880.31,4733198.19,4020,732169.2194,2.3,-5.78,0
1612729,370757.92,4727575.2,4010,732169.3836,2.56,-5.68,0
1612799,352963.58,4733263.07,4910,732169.5633,2.31,-5.75,0
1612809,311641.04,4749813.97,29930,732169.8716,2.24,-5.74,0
1612849,358844.28,4791434.14,21670,732170.1483,1.96,-6.01,0
1612969,358143.9,4688774.35,6240,732171.2363,1.51,-6.17,0
1613049,335204.31,4743075.15,11810,732171.7862,1.92,-6.06,0
1613089,335856.26,4702093.62,10010,732171.8975,2.21,-5.89,0
1613119,339791.51,4703635.34,4010,732172.0188,1.71,-6.05,0
1613369,321862.59,4765721.73,5050,732173.0865,2.01,-6.19,0
1613569,258134.98,4882437.5,1890,732174.5992,2.05,-5.85,0
1613589,297065.3,4737846.84,10010,732174.6581,2.23,-5.9,0
1613639,330082.7,4803840.01,48300,732175.121,3.08,-5.37,0
1613919,302463.84,4809926.54,3710,732176.6057,2.25,-6.23,0
1613979,352821.92,4751142.03,13450,732177.0963,1.83,-6.1,0
1614249,298469.95,4802352.37,9000,732178.3655,1.89,-5.41,0
1614269,331213.78,4764706.7,9990,732178.4131,2.45,-5.97,0
1614289,357394.38,4745546.27,10090,732178.4584,2.7,-5.56,0
1614539,320894.6,4795186.31,9730,732180.1952,1.59,-6.35,0
1614589,361608.04,4751825.96,3160,732180.5116,1.91,-6.06,0
1614619,358685.07,4746697.26,2300,732180.6423,1.87,-6.12,0
1614629,338017.94,4757286.4,14620,732180.6987,1.89,-6.31,0
1614659,351139.91,4784465.6,11190,732180.7449,1.81,-6.13,0
1614689,332773.92,4742355.92,6770,732180.8617,1.59,-6.28,0
1614799,366677.68,4772666.84,16470,732181.288,2.45,-5.67,0
1614829,406454.3,4726101.04,24570,732181.773,2.64,-5.59,0
1614839,344437.65,4732883.17,4010,732181.7798,1.8,-5.93,0
1614849,295698.76,4819310.32,6220,732181.9074,1.83,-6.44,0
1614879,338293.33,4780947.67,7740,732182.0833,1.71,-6.27,0
1614959,335842.57,4725859.84,4000,732182.5379,1.97,-5.9,0
1615059,304421.98,4742858.02,4010,732183.1638,1.74,-6.14,0
1615109,354006.49,4733785.33,4000,732183.3921,1.57,-6.18,0
1615119,320364.88,4738645.56,9850,732183.4005,2.55,-5.53,0
1615149,302021.07,4769624.08,11470,732183.4622,1.92,-6.05,0
1615179,308765.45,4742513.8,17700,732183.6528,2.34,-5.64,0
1615189,336743.96,4770928.4,6420,732183.726,1.71,-6.28,0
1615199,319413.33,4770231.26,4010,732183.7316,1.62,-6.21,0
1615299,338930.19,4730987.19,12900,732184.131,1.95,-6.08,0
1615319,325442.75,4696957.38,18800,732184.2375,1.77,-6.15,0
1615439,324657.77,4833596.84,19560,732184.9992,1.91,-6.44,0
1615559,294598.42,4812418.15,1310,732185.7618,2.01,-6.09,0
1615619,418353.42,4672755.56,25330,732186.3131,1.95,-6.18,0
1615769,322676.27,4755254.55,12720,732187.2034,1.62,-11.53,0
1615809,355733.2,4800143.78,2440,732187.4319,2.03,-6.1,0
1616029,307905.09,4779425.76,5650,732189.1225,1.94,-5.83,0
1616259,237535.92,4845913.13,3690,732190.6749,1.79,-11.78,0
1616379,374112.24,4709629.39,13250,732191.0322,2.1,-5.74,0
1616389,378342.93,4703489.42,2790,732191.0359,1.75,-5.89,0
1616399,260776.15,4851100.37,12390,732191.0551,1.66,-5.94,0
1616659,335648.3,4755476.04,3570,732193.041,1.96,-5.96,0
1616809,334906.46,4743615.63,4010,732194.0804,1.59,-5.9,0
1616959,337448.72,4765966.88,10540,732195.2005,2.02,-6.23,0
1617119,348610.77,4807655.23,20,732196.3572,1.99,-6.38,0
1617389,321038.27,4737150.09,37230,732198.5205,1.74,-6.09,0
1617549,302005.61,4787297.6,8620,732199.9507,1.5,-6.5,0
1617559,302158.94,4787537.67,8750,732200.0085,1.66,-6.35,0
1617579,315668.11,4804495.72,51190,732200.143,2.23,-5.86,0
1617659,318290.11,4758303.17,250,732201.1929,1.82,-6.44,0
1617869,367776.94,4771834.46,16460,732202.794,2.85,-5.63,0
1617919,350762.63,4689705.33,9390,732203.3309,2.08,-5.93,0
1617949,354801.51,4799052.62,10,732203.4205,2.1,-6.32,0
1618029,381700.43,4764813.83,11000,732203.8895,1.98,-6.01,0
1618089,329265.74,4770611.26,10180,732204.3666,3.09,-5.49,0
1618119,356957.4,4700462.68,11270,732204.9059,1.83,-5.96,0
1618169,274887.33,4845437.82,2430,732205.1463,1.61,-4.98,0
1618249,299756.83,4779949.49,1380,732205.4405,1.9,-6.24,0
1618279,358688.08,4701416.1,10790,732205.6781,1.99,-5.94,0
1618289,354618.85,4798856.55,0,732205.6797,1.68,-6.07,0
1618399,294400.64,4726721.84,4050,732206.7119,1.55,-11.43,0
1618439,294589.57,4855030.07,4010,732207.0308,1.97,-6.45,0
1618449,342140.97,4747745.9,10330,732207.1175,1.91,-5.92,0
1618489,299774.29,4723919.16,23870,732207.2927,1.69,-5.71,0
1618509,292405.96,4853930.52,2960,732207.6438,2.63,-5.54,0
1618519,313206.18,4778344.71,8090,732207.7545,1.65,-6.17,0
1618539,289600.37,4852539.97,10,732207.8546,2.41,-6.05,0
1618559,291150.92,4853191.55,1070,732207.8967,2.17,-4.98,0
1618569,292641.22,4854245.6,2090,732207.9127,3.15,-5.41,0
1618579,292098.23,4853873.42,2700,732207.9148,2.41,-12.71,0
1618589,290824.6,4853057.27,0,732208.0348,2.26,-5.69,0
1618619,288467.62,4850852.57,23310,732208.1525,2.11,-6.41,0
1618639,292872.04,4854160.58,3100,732208.2065,2.2,-5.36,0
1618649,292357.08,4853654.1,3500,732208.2271,2.15,-5.69,0
1618679,325989.9,4792219.68,9240,732208.6008,1.53,-6.49,0
1618709,291757.07,4853005.79,2720,732208.8266,2.17,-5.76,0
1618779,352822.39,4711146.89,12840,732209.3276,2.29,-5.84,0
1618799,292528,4853971.18,1840,732209.4098,2.45,-5.47,0
1618819,350694.06,4706526.25,9730,732209.4174,2.91,-5.54,0
1618929,286658.05,4850943.66,20500,732210.119,1.79,-11.79,0
1618949,329772.77,4772321.02,10470,732210.2154,2.63,-5.72,0
1618969,338457.82,4742998.07,7270,732210.3415,1.71,-6.01,0
1618999,292541.04,4853615.01,1490,732210.5107,1.77,-5.06,0
1619019,291527.3,4852868.45,1710,732210.5661,2.05,-5.68,0
1619029,292552.63,4853470.12,1830,732210.6001,2.02,-5.88,0
1619039,290191.85,4851887.58,10,732210.7216,1.66,-5.7,0
1619049,290846.69,4852222.74,1890,732210.7617,1.59,-11.48,0
1619059,291219.16,4852800.29,1170,732210.7623,2.09,-5.64,0
1619099,290755.37,4852648.09,1340,732210.9365,1.99,-5.8,0
1619129,350616.15,4765355.46,4010,732211.0945,1.73,-6.07,0
1619159,358038.81,4701851.42,13060,732211.2694,1.99,-5.64,0
1619189,358272.81,4801367.83,3480,732211.5047,2,-6.06,0
1619209,359789.99,4763550.3,15710,732211.5428,1.87,-5.99,0
1619279,361252.01,4700864.77,9430,732211.623,1.92,-5.99,0
1619289,362175.48,4700968.66,12270,732211.632,2.21,-5.82,0
1619309,293611.89,4854393.29,3810,732211.7413,1.86,-5.34,0
1619339,337796.28,4770647.75,2980,732211.88,1.86,-6.32,0
1619349,344633.68,4754244.48,13880,732211.9268,1.87,-5.84,0
1619469,360981.95,4700936.79,8360,732212.6168,1.83,-6.13,0
1619479,361738.97,4700943.97,10970,732212.6311,2.39,-5.8,0
1619509,331225.23,4735226.69,9790,732212.7663,2,-6.09,0
1619589,277978.37,4824341.72,4660,732213.787,1.66,-6.35,0
1619639,316354.6,4813624.14,16430,732214.0048,1.75,-6.26,0
1619729,291760.2,4853105.75,2040,732214.5361,2.09,-5.8,0
1619829,264092.97,4858955.81,0,732214.8583,1.8,-5.94,0
1619929,291374.07,4853117.85,1280,732215.0581,1.79,-6.18,0
1620009,315773.46,4738377.71,12750,732215.5863,1.87,-5.98,0
1620079,276356.39,4865114.47,40410,732215.9066,1.63,-5.79,0
1620099,291859.76,4853714.11,2060,732215.9169,1.5,-5.59,0
1620209,356405.57,4798962.84,1370,732216.5117,1.66,-6.12,0
1620349,329964.46,4773149.67,8330,732217.593,1.89,-5.89,0
1620359,308595.28,4806704.23,11650,732217.6656,2.28,-6.05,0
1620399,328048.05,4736549.61,5070,732217.9054,1.61,-6.16,0
1620469,292396.24,4815876.27,3660,732218.6337,1.83,-5.22,0
1620789,333972.33,4743882.54,9990,732220.8443,1.73,-5.62,0
1620839,298411.02,4804999.74,2440,732220.9901,1.57,-6.49,0
1620869,293289.18,4855148.19,3040,732221.0645,2.12,-5.26,0
1621379,292799.66,4854162.84,3340,732223.0985,2.16,-5.47,0
1621489,351834.62,4744363.84,7580,732223.7315,2.26,-5.72,0
1621509,335811.56,4769417.32,9850,732223.9208,1.67,-6.04,0
1621519,314783.81,4794694.85,8310,732223.969,1.96,-6.23,0
1621659,275276.56,4845502.54,9250,732224.848,1.56,-5.48,0
1621699,303892.79,4812252.47,660,732225.0245,1.73,-6.53,0
1621789,357205.54,4800356.98,2930,732225.4239,1.83,-11.85,0
1621929,291874.27,4852890.95,17750,732226.2692,1.87,-5.22,0
1622009,364215.45,4759361.65,16660,732226.6949,1.76,-6.03,4
1622019,293757.22,4855444.95,4010,732226.6999,3.48,-5.22,4
1622039,291272.98,4853232.2,16580,732226.7229,2.12,-6.11,4
1622049,292991.65,4854123.5,2820,732226.7445,2.32,-5.37,4
1622059,377024.82,4770839.5,12120,732226.7484,2.28,-5.78,4
1622069,291951.6,4854333.84,1850,732226.7517,1.98,-6.21,4
1622079,312735.48,4749484,14260,732226.7599,2.15,-5.83,4
1622089,293042.58,4854466.57,2830,732226.7763,2.41,-6.23,4
1622109,293165.59,4853762.33,2910,732226.9068,2.46,-5.59,4
1622129,293086.39,4853286.73,2640,732226.9074,2.36,-5.63,4
1622139,292616.98,4853468.11,3250,732226.9135,1.95,-6.37,4
1622159,293037.4,4854299.96,3270,732226.9496,2.46,-6.27,4
1622169,291925.52,4850665.8,4010,732226.9769,1.69,-11.63,4
1622309,339970.62,4764351.8,4010,732227.4713,2.13,-6.07,4
1622319,293466.08,4853586.23,4010,732227.5093,2.37,-6.13,2
1622359,350593,4746301.63,12740,732227.5238,2.31,-5.41,2
1622379,319843.89,4806328.03,1800,732227.8047,1.61,-6.24,2
1622389,302995.67,4814813.02,4010,732227.8754,1.68,-6.22,2
1622489,292813.41,4854862.82,2000,732228.0715,2.96,-5.51,2
1622519,333335.85,4752709.44,12700,732228.366,1.93,-11.99,2
1622639,354503.5,4714533.19,11630,732228.5755,3.35,-5.28,1
1622649,355042.52,4713211.03,4010,732228.5851,1.71,-5.9,1
1622659,355384.58,4719380.67,4000,732228.5881,1.83,-6.01,1
1622679,354319.38,4714759.23,10730,732228.6351,1.99,-5.87,1
1622699,354707.3,4715639.85,7440,732228.6877,2.03,-6.02,1
1622709,354938.15,4716079.4,3560,732228.7738,1.87,-5.81,1
1622739,353871.27,4712191.27,6110,732228.8513,2.27,-5.8,1
1622749,354375.27,4714291.47,11020,732228.8961,2.13,-6.03,1
1622769,270482.23,4852860.49,4010,732229.0031,2.62,-5.78,1
1622819,292682.47,4854277.66,2520,732229.3771,1.89,-5.36,1
1622829,293842.8,4855609.06,4010,732229.4063,2.43,-5.39,1
1622839,389535.14,4774557.9,4000,732229.4685,1.99,-5.99,1
1623029,323450.38,4764058.08,9820,732230.8378,1.59,-5.79,1
1623089,292726.15,4854387.48,4010,732231.0326,1.78,-6.09,1
1623099,380759.07,4722086.15,15640,732231.102,1.62,-11.53,1
1623139,313484.94,4705878.47,24740,732231.7558,2.03,-6.14,1
1623149,292500.95,4854394.5,12340,732231.7579,2.02,-5.61,1
1623189,307903.54,4768089.06,16320,732231.9245,1.51,-6.45,1
1623309,264467.13,4864280.66,12830,732232.8375,1.63,-11.55,1
1623409,378660.05,4727254.41,14450,732233.1542,2.67,-5.77,1
1623439,356860.05,4800508.72,3210,732233.4215,1.84,-6.29,1
1623579,344102.78,4754956.51,13460,732234.291,3.01,-5.34,1
1623609,343752.46,4754631.15,13860,732234.397,2.15,-5.71,1
1623629,342919.85,4754283.49,14140,732234.465,2.07,-5.92,1
1623639,343019.25,4755058.99,8890,732234.5306,1.93,-6.37,1
1623649,330570.32,4790914.65,32600,732234.5634,2.43,-5.94,1
1623689,378099.14,4772175.51,13000,732234.9725,1.59,-6.35,1
1623729,320041.31,4809779.21,13480,732235.3096,1.81,-6.12,1
1623749,316395.39,4803809.07,12570,732235.5949,1.83,-6.02,1
1623869,355861.11,4778253.08,13210,732236.3989,2.33,-5.57,1
1623909,355593.82,4777925.43,13380,732236.5716,1.84,-5.93,1
1623919,356036.42,4777693.86,12600,732236.6741,1.91,-6.05,1
1623929,355673.74,4777857.08,12640,732236.7953,1.94,-5.88,1
1623939,355586.87,4777981.13,12760,732236.7967,2.09,-5.76,1
1624069,370504.63,4742454.35,17240,732237.8656,1.87,-6.02,1
1624209,308276.27,4706408.77,10020,732238.6131,1.91,-6,1
1624229,362907.87,4770630.68,20090,732238.879,2.29,-5.9,1
1624299,317892.6,4798278.21,13590,732239.6296,1.5,-11.35,1
1624479,341124.32,4776080.79,9850,732241.0757,2.03,-5.93,2
1624589,349364.46,4720275.33,12720,732242.3651,1.95,-5.69,2
1624719,360084.65,4673239.26,11000,732243.178,1.59,-6.11,2
1624889,357482.77,4800428.91,2580,732244.6653,1.98,-6.18,2
1624989,298659.22,4721406.29,4010,732245.4772,2.13,-5.85,2
1625109,338543.69,4703741.9,9790,732246.1142,2.27,-5.98,2
1625119,358812.73,4706756.92,4000,732246.2754,1.89,-5.96,2
1625409,258983.07,4856770.32,0,732249.1907,2.01,-6.1,2
1625629,351469.89,4804313.87,2350,732250.6916,1.75,-6.3,2
1625639,357898.9,4798620.22,3020,732250.7154,1.55,-6.3,2
